loaded data
Running grid search for NMF
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 1)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 2)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 3)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 4)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 6)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 7)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 8)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 9)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 11)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 12)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 13)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 14)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 16)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 17)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 18)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 19)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 1)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 2)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 3)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 4)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 5)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 6)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 7)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 8)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 9)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 10)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 11)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 12)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 13)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 14)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 15)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 16)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 17)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 18)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 19)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.10000000000000001), ('n_components', 20)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 1)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 2)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 3)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 4)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 5)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 6)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 7)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 8)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 9)]
 [('A', 'counts'), ('alpha', 0.001), ('init', 'random'), ('l1_ratio', 0.20000000000000001), ('n_components', 10)]
