loaded data
running grid search on 32 configs
Running grid search for NMF
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 0.1), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 1.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 5)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 10)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 15)]
 [('A', 'log1p'), ('alpha', 10.0), ('init', 'nndsvd'), ('l1_ratio', 0.1), ('n_components', 20)]
 [('A', 'log1p'), ('alpha', 100.0), ('init', 'nndsvd'), ('l1_ratio', 0.0), ('n_components', 5)]
